tmdb	title	tagline	release	runtime	genres	overview	poster	backdrop	trailers
72387	Safe	She has the code. He is the key.	2012-04-16	94	Action Crime Thriller 	After a former elite agent rescues a 12-year-old Chinese girl who's been abducted.. they find themselves in the middle of a standoff between Triads.. the Russian Mafia and high-level corrupt New York City politicians and police.	/kOCpkoMUVae9UIf85gO71SyjLbW.jpg	/riNgWD9D2faY8K9sZfDJ6v5Wip3.jpg	gU-wjVD_58c s3kTkk4k_5Q 
59961	Safe House	No one is safe	2012-02-09	115	Action Thriller 	A dangerous CIA renegade resurfaces after a decade on the run. When the safe house he's remanded to is attacked by mercenaries.. a rookie operative escapes with him. Now.. the unlikely allies must stay alive long enough to uncover who wants them dead.	/7SYBPjv5ywF6cI4BSFFtlDyChT2.jpg	/236UVdmhNmhEt6SJZA8EFt2dOi1.jpg	oWzTOoOpFa8 
84332	Safety Not Guaranteed	What would you go back for?	2012-06-08	85	Comedy Romance Sci-Fi Drama 	Three magazine employees head out on an assignment to interview a guy who placed a classified ad seeking a companion for time travel.	/bYiQAWmxRfzBie866SqOEEgtBXk.jpg	/j9c1Zex2LrHzp7dLPcGr2a5tSuj.jpg	73jSnAs7mq8 
7364	Sahara	Dirk Pitt. Adventure has a new name.	2005-04-06	124	Action Adventure Comedy Drama Mystery 	Scouring the ocean depths for treasure-laden shipwrecks is business as usual for a thrill-seeking underwater adventurer and his wisecracking buddy. But when these two cross paths with a beautiful doctor.. they find themselves on the ultimate treasure hunt.	/32JjbBgpUj0AkhUMHNZAB56r4NM.jpg	/eQJBWmNeD4GBtLkx3WlX3xcUKtP.jpg	kcmBYaS_zkw 
89708	Samsara	The varied worlds of sacred grounds.. disaster zones.. industrial complexes.. and natural wonders.	2011-09-16	102	Documentary 	Filmed over nearly five years in twenty-five countries on five continents.. and shot on seventy-millimetre film.. Samsara transports us to the varied worlds of sacred grounds.. disaster zones.. industrial complexes.. and natural wonders.	/wqoxzWwHn93heUxfcMYPhNqQ45d.jpg	/2pawKej1ZZfbbpfJfvj5R8q9NhC.jpg	kcEj1m6YIDc 
254128	San Andreas	A rescue pilot survived an earthquake.. this is what happens next	2015-05-27	114	Action Drama Thriller 	In the aftermath of a massive earthquake in California.. a rescue-chopper pilot makes a dangerous journey across the state in order to rescue his estranged daughter.	/2Gfjn962aaFSD6eST6QU3oLDZTo.jpg	/ipjZVitWMjrVd2hoWKU2waVdxGy.jpg	Bz9e0PGSDeU 23VflsU3kZE uOh7x6WsNAw SzRbK9qIhBs CUpzZtET3go Nzc8u3czK1g F1ZewAPl7L0 24a2bk3JnFM 0o9k9stwVR0 
140823	Saving Mr. Banks	Where her book ended.. their story began.	2013-11-16	125	Comedy Drama History 	Author P.L. Travers travels from London to Hollywood as Walt Disney Pictures adapts her novel Mary Poppins for the big screen.	/ksDa3XtV3v07jhQLUgARRi5cFBO.jpg	/zg4cgEnWsPtoNKfIUUnNxBbzeZQ.jpg	nijccxWvyXU 
857	Saving Private Ryan	The mission is a man.	1998-07-24	127	Drama History War 	As U.S. troops storm the beaches of Normandy.. three brothers lie dead on the battlefield.. with a fourth trapped behind enemy lines. Ranger captain John Miller and seven men are tasked with penetrating German-held territory and bringing the boy home.	/JC8KQ2BXaAIFEU8zEuakiwUQSr.jpg	/hjQp148VjWF4KjzhsD90OCMr11h.jpg	RYExstiQlLc 
9475	Scent of a Woman	Col. Frank Slade has a very special plan for the weekend!	1992-12-23	127	Drama 	Charlie Simms is a student at a private preparatory school who comes from a poor family. To earn the money for his flight home to Gresham.. Oregon for Christmas.. Charlie takes a job over Thanksgiving looking after retired U.S. Army officer Lieutenant Colonel Frank Slade.. a cantankerous middle-aged man who lives with his niece and her family.	/4adI7IaveWb7EidYXfLb3MK3CgO.jpg	/wwaVAZmQU2CBAJzBtahOSvqvpbc.jpg	3GUvsJc3vvE 
424	Schindler's List	Whoever saves one life.. saves the world entire.	1993-11-30	127	Drama History War 	The true story of how businessman Oskar Schindler saved over a thousand Jewish lives from the Nazis while they worked as slaves in his factory during World War II.	/c8Ass7acuOe4za6DhSattE359gr.jpg	/w2ezhZUk7ZJH9Mdk1Y6CTmaDRg5.jpg	bJcLRFWxRno 
9637	Scooby-Doo	Be Afraid. Be Kind of Afraid.	2002-06-14	88	Mystery Adventure Comedy 	The Mystery Inc. gang have gone their separate ways and have been apart for two years.. until they each receive an invitation to Spooky Island. Not knowing that the others have also been invited.. they show up and discover an amusement park that affects young visitors in very strange ways.	/mTAiBJGg8mqEfnYHHbi37ZoRSZm.jpg	/p2nvVxhybHkaKaIT8U0RLRgwvDg.jpg	Bzz4EQ2NmpQ 
22538	Scott Pilgrim vs. the World	An epic of epic epicness.	2010-08-12	112	Action Comedy Romance Music 	Scott Pilgrim is a 22 year old radical Canadian wannabe rockstar who falls in love with an American delivery girl.. Ramona Flowers.. and must defeat her seven evil exes to be able to date her.	/g5IoYeudx9XBEfwNL0fHvSckLBz.jpg	/y8PiciKEA6U2auHwTM788o0KAYq.jpg	7wd5KEaOtm4 
4232	Scream	Someone has taken their love of scary movies one step too far.	1996-12-20	112	Crime Horror Mystery 	A killer known as Ghostface begins killing off teenagers.. and as the body count begins rising.. one girl and her friends find themselves contemplating the 'rules' of horror films as they find themselves living in a real-life one.	/aXAByjBN8UhaYvotqRCwa5MsMGu.jpg	/tdcb0RHusaQxScWORevtKQ0u9NG.jpg	xRqAmYpV_Ts 23jmjs-rMGI 
4233	Scream 2	Someone has taken their love of sequels one step too far.	1997-12-09	120	Horror Mystery 	Two years after the terrifying events that occurred in Woodsboro.. Sidney is now attending Windsor College in Cincinnati.. and Gale Weathers' best selling book on Sidney's life has now been made into a major motion picture. When two college students are killed in a theatre while watching the new film 'Stab'.. Sidney knows deep down that history is repeating itself.	/mumarnp1ZBHFdmt2q6x9ELuC3x0.jpg	/ox4alQYeQdd77vvIR1grzyyeQ2X.jpg	C-j2TLBmTBY 
4234	Scream 3	Someone has taken their love of trilogies one step too far.	2000-02-03	116	Horror Mystery 	A murdering spree begins to happen again.. this time its targeted toward the original Woodsboro survivors and those associated with the movie inside a movie.. 'Stab 3'. Sydney must face the demons of her past to stop the killer.	/qpH8ToZVlFD1bakL04LkEKodyDI.jpg	/jihXxHQXjzkcWU8ZfVgN8ntpvf5.jpg	bYi-rmHfrP8 
